Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1961","1961","°C","-0.162","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1962","1962","°C","0.13","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1963","1963","°C","-0.24","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1964","1964","°C","-0.654","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1965","1965","°C","0.269","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1966","1966","°C","-0.19","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1967","1967","°C","-0.204","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1968","1968","°C","-0.076","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1969","1969","°C","0.51","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1970","1970","°C","-0.4","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1971","1971","°C","0.18","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1972","1972","°C","-0.121","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1973","1973","°C","-0.14","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1974","1974","°C","-0.245","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1975","1975","°C","-0.367","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1976","1976","°C","-0.121","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1977","1977","°C","-0.026","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1978","1978","°C","0.141","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1979","1979","°C","0.845","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1980","1980","°C","0.203","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1981","1981","°C","0.706","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1982","1982","°C","0.327","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1983","1983","°C","-0.031","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1984","1984","°C","-0.877","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1985","1985","°C","0.205","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1986","1986","°C","0.177","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1987","1987","°C","1.102","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7012","December","1988","1988","°C","0.582","Fc","Calculated data"
