geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
AT	10.3 	10.7 	10.8 	11.5 	11.4 	11.5 	11.1 	10.8 	10.7 	9.9 	10.4 	10.1 	9.7 	9.7 	9.2 	9.4 	9.4 	9.6 
BE	15.1 	14.8 	14.6 	14.6 	14.7 	14.2 	13.9 	13.5 	13.4 	12.1 	12.6 	11.5 b	11.1 b	11.0 	10.5 	10.8 	10.6 	10.5 
BG	7.3 	7.9 	7.7 	8.3 	8.3 	8.4 	8.6 	9.1 	9.0 	7.8 	8.3 	9.0 	8.4 	7.7 	8.2 	8.7 	8.4 	8.8 
CH	8.0 	8.1 	7.8 	7.8 	7.8 	7.8 	7.8 	7.5 	7.6 	7.3 	7.5 	6.9 b	7.0 	7.1 	6.5 	6.4 	6.4 	6.2 
CY	13.3 	13.3 	13.4 	13.9 	13.8 	13.8 	13.8 	14.0 	13.8 	13.1 	12.4 	11.7 	10.9 	10.0 	10.6 	10.7 	11.3 	11.6 
CZ	14.7 	14.8 	14.4 	14.8 	14.9 	14.6 	14.7 	14.8 	14.2 	13.3 	13.5 	13.3 	12.9 	12.4 	12.2 	12.3 	12.4 	12.3 
DE	13.0 	13.1 	12.8 	12.8 	12.6 	12.3 	12.4 	12.1 	12.2 	11.4 	11.8 	11.8 b	11.8 	12.0 	11.5 	11.4 	11.4 	11.3 
DK	13.7 	13.9 	13.8 	14.7 	13.5 	12.7 	14.1 	13.2 	12.4 	11.8 	11.8 	10.8 	10.0 	10.2 	9.5 	8.9 	9.3 	8.8 
EE	12.5 	12.8 	12.5 	14.0 	14.3 	14.3 	13.8 	16.7 	15.1 	12.6 	16.0 	16.1 	15.4 	16.8 	16.2 	13.9 b	15.1 	16.0 
EL	11.9 	11.9 	11.9 	12.3 	12.3 	12.6 	12.3 	12.5 	12.2 	11.5 	10.9 	10.6 	10.4 	9.6 	9.4 	9.1 	8.8 	9.2 
ES	9.8 	9.7 	10.0 	10.0 	10.2 	10.4 	10.0 	10.1 	9.2 	8.3 	7.9 	7.9 	7.8 	7.2 	7.3 	7.6 	7.4 	7.7 
EU28	10.8 b	10.9 b	10.8 	11.0 	10.9 	10.8 	10.8 	10.6 	10.4 b	9.6 	9.8 b	9.5 b	9.3 b	9.1 	8.7 b	8.8 b	8.7 	8.8 bp
FI	13.8 	14.8 	15.2 	16.6 	15.9 	13.6 	15.7 	15.4 	13.8 	13.0 	14.4 	13.0 	11.9 	11.9 	11.1 	10.4 	10.9 	10.4 
